"filename", "language", "JSON", "C++", "CMake", "XML", "TypeScript JSX", "YAML", "Dart", "Properties", "Markdown", "Swift", "Ruby", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/characters.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/levels.json", "JSON", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/data/worlds.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_01.tmx", "XML", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 179
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_02.tmx", "XML", 0, 0, 0, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 503
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_022.tmx", "XML", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_03.tmx", "XML", 0, 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 566
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_04.tmx", "XML", 0, 0, 0, 619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 620
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_05.tmx", "XML", 0, 0, 0, 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 536
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_11.tmx", "XML", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 163
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_13.tmx", "XML", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 126
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_2-01.tmx", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_Tile.tmx", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Level_blank.tmx", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Menu_Foreground.tmx", "XML", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Pixel Adventure.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/assets/tiles/Splash_Foreground.tmx", "XML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 3, 10, 44
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
